"Tennessee", "Bruce Pearl", "12", "4", ".750", "E1"
"Florida", "Billy Donovan", "10", "6", ".625", "E2"
"Kentucky", "Tubby Smith", "9", "7", ".563", "E3"
"Vanderbilt", "Kevin Stallings", "7", "9", ".438", "E4"
"South Carolina", "Dave Odom", "6", "10", ".375", "E5"
"Georgia", "Dennis Felton", "5", "11", ".313", "E6"
"LSU", "John Brady", "14", "2", ".875", "W1"
"Alabama", "Mark Gottfried", "10", "6", ".625", "W2"
"Arkansas", "Stan Heath", "10", "6", ".625", "W3"
"Mississippi State", "Rick Stansbury", "5", "11", ".313", "W4"
"Auburn", "Jeff Lebo", "4", "12", ".250", "W5"
"Mississippi", "Rod Barnes", "4", "12", ".250", "W6"
