"Derek Anderson", "1987", "Doss", "Kentucky / Ohio State", "Cleveland"
"Butch Beard", "1964-65", "Breckinridge County", "Louisville", "Atlanta"
"Ralph Beard", "1944-45", "Louisville Male", "Kentucky", "Indianapolis"
"Brian Brohm", "2004", "Trinity", "Louisville (football)", "Green Bay (football)"
"Greg Buckner", "1992, 1994", "University Heights", "Clemson", "Dallas"
"J.R. Vanhoose", "1995-98", "Paintsville", "Marshall", ""
"Michael Bush", "2001", "Louisville Male", "Louisville (football)", "Chicago (football)"
"Mike Casey", "1965-66", "Shelby County", "Kentucky", ""
"Rex Chapman", "1985", "Apollo", "Kentucky", "Charlotte"
"Tim Couch", "1990", "Leslie County", "Kentucky (football)", "Cleveland (football)"
"Dave Cowens", "1966", "Newport Central Catholic", "Florida State", "Boston"
"Johnny Cox", "1953, 1955", "Hazard", "Kentucky", "Chicago"
"Richie Farmer", "1986-88", "Clay County", "Kentucky", ""
"Travis Ford", "", "Madisonville", "Kentucky", "Head Coach Oklahoma State"
"Jack Givens", "", "Lexington Bryan Station", "Kentucky", "Atlanta"
"Darrell Griffith", "", "Louisville Male", "Louisville", "Utah"
"Cliff Hagan", "", "Owensboro", "Kentucky", "St. Louis"
"Clem Haskins", "", "Taylor County", "Western Kentucky", "Chicago / Phoenix"
"Allan Houston", "", "Louisville Ballard", "Tennessee", "New York"
"Wallace 'Wah Wah' Jones", "", "Harlan", "Kentucky", "Indianapolis"
"Roy Kidd", "", "Corbin", "Eastern Kentucky", "Hall of Fame Football Coach"
"Chris Lofton", "", "Mason County", "Tennessee", ""
"O.J. Mayo", "", "Rose Hill Christian", "USC", "Dallas"
"Darius Miller", "", "Mason County", "Kentucky", "New Orleans"
"Dirk Minniefield", "", "Lexington Lafayette", "Kentucky", "Cleveland"
"Jim McDaniels", "", "Allen County,", "Western Kentucky", "Seattle"
"Frank Selvy", "", "Corbin", "Furman", "Minneapolis/Los Angeles"
"Mike Silliman", "", "Louisville St. Xavier", "Army", "Buffalo"
"Greg Smith", "", "Princeton-Dotson", "Western Kentucky", "Milwaukee"
"Wes Unseld", "", "Louisville Seneca", "Louisville", "Washington"
"Bill Walker (basketball)", "", "Rose Hill Christian", "Kansas State", "New York"
