"Beijing", "Beijing"
"Yangyuan", "Hebei"
"Datong", "Shanxi"
"Zuoyun", "Shanxi"
"Youyu", "Shanxi"
"Qingshuihe", "Inner Mongolia"
"Dongsheng", "Inner Mongolia"
"Shizuishan", "Ningxia"
"Huinong", "Ningxia"
"Pingluo", "Ningxia"
"Helan County", "Ningxia"
"Yinchuan", "Ningxia"
"Yongning County", "Ningxia"
"Qingtongxia", "Ningxia"
"Zhongning", "Ningxia"
"Jingyuan County", "Gansu"
"Baiyin", "Gansu"
"Gaolan", "Gansu"
"Lanzhou", "Gansu"
"Xigu District", "Gansu"
"Minhe", "Qinghai"
"Ledu", "Qinghai"
"Ping'an County", "Qinghai"
"Xining", "Qinghai"
"Huangyuan", "Qinghai"
"Dulan", "Qinghai"
"Golmud", "Qinghai"
"Amdo", "Tibet"
"Nagqu", "Tibet"
"Damxung", "Tibet"
"Doilungdêqên", "Tibet"
"Lhasa", "Tibet"
