"Beijing , Beijing", "0", "100"
"Yangyuan , Hebei", "292", "900"
"Datong , Shanxi", "375", "1100"
"Zuoyun , Shanxi", "432", "1200"
"Youyu , Shanxi", "456", "1300"
"Qingshuihe , Inner Mongolia", "567", "1100"
"Dongsheng , Inner Mongolia", "794", "1300"
"Shizuishan , Ningxia", "1142", "1100"
"Huinong , Ningxia", "1157", "1100"
"Pingluo , Ningxia", "1187", "1100"
"Helan County , Ningxia", "1235", "1100"
"Yinchuan , Ningxia", "1249", "1100"
"Yongning County , Ningxia", "1269", "1100"
"Qingtongxia , Ningxia", "1303", "1100"
"Zhongning , Ningxia", "1382", "1100"
"Jingyuan County , Gansu", "1597", "1300"
"Baiyin , Gansu", "1663", "1700"
"Gaolan , Gansu", "1706", "1600"
"Lanzhou , Gansu", "1753", "1500"
"Xigu District , Gansu", "1782", "1500"
"Minhe , Qinghai", "1873", "1700"
"Ledu , Qinghai", "1920", "1900"
"Ping'an County , Qinghai", "1948", "2100"
"Xining , Qinghai", "1984", "2200"
"Huangyuan , Qinghai", "2033", "2600"
"Dulan , Qinghai", "2407", "3100"
"Golmud , Qinghai", "2739", "2600"
"Amdo , Tibet", "3435", "4600"
"Nagqu , Tibet", "3575", "4400"
"Damxung , Tibet", "3739", "4200"
"Doilungdêqên , Tibet", "3889", "3600"
"Lhasa , Tibet", "3901", "3600"
