"1904 July", "Marshal Charles E. Ruddock"
"1910 April", "Marshal Roderick D. Stone"
"1912 November", "Marshal William French"
"1918 August", "Chief Vernon Myers"
"1921 August", "Chief Arthur L. Eeles"
"1925 April", "Chief O. W. Wilson"
"1925 December", "Chief Thomas K. Winter"
"1927 December", "Chief James M. Pearson"
"1940 April", "Chief John C. Gregory"
"1951 February", "Chief Ernest E. Garner"
"1957 November", "Chief Wayne H. Bornhoft"
"1977 September", "Chief Martin Hairabedian"
"1987 March", "Chief Philip Goehring"
"1993 March", "Chief Patrick McKinley"
"2009 April", "Chief Michael Sellers*"
"2012 January", "Acting Chief Dan Hughes"
"2013 January", "Chief Dan Hughes"
