"8 January 2013 - 13 January 2013", "Minneapolis, MN", "Orpheum Theatre"
"15 January 2013 – 27 January 2013", "Cleveland, OH", "State Theatre at Playhouse Square"
"29 January 2013 – 10 February 2013", "St. Louis, MO", "Fabulous Fox Theatre"
"12 February 2013 – 17 February 2013", "Schenectady, NY", "Proctors"
"19 February 2013 – 24 February 2013", "Buffalo, NY", "Shea's Performing Arts Center"
"26 February 2013 – 3 March 2013", "Philadelphia, PA", "Academy of Music (Kimmel Center)"
"5 March 2013 – 10 March 2013", "Pittsburgh, PA", "Benedum Centre"
"19 March 2013 – 31 March 2013", "Chicago, IL", "Auditorium Theatre"
"2 April 2013 – 7 April 2013", "Miami, FL", "Arsht Center"
"9 April 2013 – 14 April 2013", "Tampa, FL", "Straz Center"
"16 April 2013 – 21 April 2013", "Orlando, FL", "Bob Carr"
"23 April 2013 – 28 April 2013", "West Palm Beach, FL", "The Kravis Center"
"30 April 2013 – 5 May 2013", "Durham, NC", "Durham Performing Arts Center"
"8 May 2013 – 12 May 2013", "Austin, TX", "Bass Hall"
"14 May 2013 – 26 May 2013", "Dallas, TX", "Music Hall at Fair Park"
"28 May 2013 – 16 June 2013", "Los Angeles, CA", "Pantages Theatre"
"18 June 2013 - 18 August 2013", "Las Vegas, NV", "The Venetian Resort & Casino"
"21 August 2013 - 31 August 2013", "San Francisco, CA", "SHN Orpheum Theatre"
"3 September 2013 - 15 September 2013", "Denver, CO", "Buell Theatre"
"17 September 2013 - 22 September 2013", "Tempe, AZ", "ASU Gammage"
"29 September 2013 - 12 October 2013", "Houston, TX", "The Hobby Center"
"15 October 2013 - 20 October 2013", "San Diego, CA", "San Diego Civic Theatre"
"22 October 2013 - 27 October 2013", "Costa Mesa, CA", "Segerstrom Center for the Arts"
"29 October 2013 - 3 November 2013", "San Jose, CA", "San Jose Center for the Performing Arts"
"5 November 2013 - 10 November 2013", "Sacramento, CA", "Community Center Theatre"
"12 November 2013 - 17 November 2013", "Seattle, WA", "Paramount Theatre"
